sample index,class_label,sensor0,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9
sample0,1.0,0.8342509834222027,0.7260813992742677,0.5359036849144344,0.21489584350525737,0.8737882909931444,0.7676045224304291,0.11130843932636791,0.5575264959349775,0.5996496615953951,0.6655687929814794
sample1,1.0,0.8040591737544392,0.253135155172477,0.869867307204029,0.3342850639978806,0.6040745922152166,0.4940453023680388,0.8335751894934594,0.1941898292802583,0.01496617187200655,0.8029178105700178
sample2,1.0,0.6944042750266697,0.5957765709194961,0.5812942741718249,0.7990034104169871,0.7628567272266561,0.6513928475031644,0.07590533959076973,0.007186300484064878,0.6596330266159818,0.8310087722262066
sample3,1.0,0.7836895305460438,0.038779627569570874,0.2850432910339191,0.6273053943944916,0.8006198412814354,0.48634018576458027,0.8277231362980225,0.3398071200084293,0.7313434832661592,0.8923586950529941
sample4,1.0,0.7888353321633572,0.1744333489120683,0.34877033120804046,0.938244327128728,0.6920645235572894,0.37761971721338294,0.18375961191309875,0.6168046690010076,0.4928990505698758,0.9309689967901521
sample5,1.0,0.2406299291845031,0.1424777511908094,0.09141607823060938,0.11759786457386323,0.812113201292216,0.9437023426627787,0.10464264583948557,0.8492666142650167,0.871183789026758,0.012565906734151366
sample6,1.0,0.40564462222336883,0.7273879895132506,0.6638140344505881,0.6932747897852231,0.944709154902505,0.9738896510862719,0.7544280585701452,0.2976160331921702,0.9083389579424072,0.23474910119481807
sample7,1.0,0.7147468237320453,0.6562098658346016,0.588289712151666,0.1343704500516737,0.8617615951934365,0.9436160382129917,0.22671387640894103,0.5463241389575948,0.688982545318669,0.883037767955672
sample8,1.0,0.5353416487380942,0.27359076844875285,0.6210327651769985,0.7803364102722015,0.9660423593221917,0.4639649680017436,0.9403887504386618,0.8674549333898043,0.9907405398050532,0.028283451612968302
sample9,1.0,0.548196738900725,0.33742624657900044,0.2658239986769828,0.2494605243577639,0.7038081931198569,0.9586147013962135,0.7674937703515724,0.20581783150199062,0.7601992567942618,0.9320657585165074
sample10,1.0,0.5203011391221466,0.25586066805193985,0.7348934058032611,0.4917129515559684,0.005895683061960311,0.2161225149284438,0.9516112634325964,0.36818467390274123,0.5718238565454195,0.0981916825707091
sample11,1.0,0.7516346854539425,0.20844785608786254,0.39203102817867963,0.1515821142486884,0.7628567272266561,0.36602914220995897,0.9682082578729132,0.3398071200084293,0.5289140406658732,0.05751618610304754
sample12,1.0,0.856897479464049,0.621303197065188,0.31750022810123246,0.6076936459819975,0.4369186597635605,0.9082263061483757,0.8189234326177135,0.8625582862782251,0.9108856968841066,0.9919383387423013
sample13,1.0,0.7836895305460438,0.11644707970559864,0.28417419200256455,0.8598276490670181,0.6026013196151065,0.34689039961290224,0.8489032533842119,0.8560251706163511,0.9682925887192598,0.8527245255520957
sample14,1.0,0.8553526511086944,0.26077703534208485,0.6918506709302997,0.8378702604221645,0.4584870367139482,0.9750855405228185,0.2014302150930769,0.6731111468547456,0.5469836495403223,0.21589974310193039
sample15,1.0,0.8217145616588485,0.6706865590631278,0.4401015525322063,0.03617236832136461,0.23709346718264257,0.669008355495011,0.9576286784449756,0.9954815712186449,0.930807210173211,0.8983404558792016
sample16,1.0,0.18172676385362574,0.6356661691054787,0.557869740579734,0.5816795460670368,0.9367318400528851,0.309288403448048,0.1825945892508829,0.37925768137443183,0.893349177604391,0.12394360222942291
sample17,1.0,0.2549525422938068,0.7657419322995629,0.49225021694505,0.6605042329885169,0.8311617336257524,0.7694107342223229,0.008300680727704846,0.9090861419981723,0.36633250379457016,0.6069595086184039
sample18,1.0,0.5228048219126,0.7199266939240095,0.5983364426696405,0.5043326171204966,0.5884363495519689,0.013570550093965128,0.022781718792526995,0.3415861971354822,0.7313434832661592,0.1298448586160169
sample19,1.0,0.2309840283134481,0.6100998000744899,0.4612534773587076,0.7324656922298441,0.5966712120262492,0.730743767062602,0.21737956848271922,0.7894601302706741,0.893349177604391,0.8765770961124757
sample20,1.0,0.7707008154675333,0.23531622891019,0.6092149508928448,0.473039842374977,0.6193123179042691,0.9103437547304862,0.8036637639679374,0.4117642908631983,0.6692614677001859,0.9582848297860626
sample21,1.0,0.5461938504660493,0.7491564369949893,0.5720738759200762,0.49599984715185663,0.9303218773425272,0.8031690174265703,0.9483099495709812,0.08567460602243115,0.16698609175556467,0.5626333236916408
sample22,1.0,0.626736930855097,0.6786617531216094,0.32295091314840496,0.4719316747725223,0.5755765693335909,0.5397891761203322,0.8694100608142502,0.6883422740075928,0.9960977292991329,0.4612613272522855
sample23,1.0,0.3058042606114584,0.723343638607208,0.4556282266689089,0.9620602799949081,0.9448308987220996,0.9786782757702205,0.12896349364046444,0.9982302043809109,0.10483854662929681,0.5783890597361337
